name,artists,album,year,length,playlist
Mexican Radio,Wall Of Voodoo,Call Of The West,1982,04:09,07/20
El Fusilado,Chumbawamba,The Boy Bands Have Won,2008,02:32,07/20
Sunshine (Go Away Today),Jonathan Edwards,Jonathan Edwards,1971,02:19,07/20
The Blues Are Still Blue,Belle and Sebastian,The Life Pursuit,2006,04:09,07/20
Banana Man,Tally Hall,Marvin's Marvelous Mechanical Museum,2005,04:10,07/20
Spinnin' N Reelin',Creed Bratton,The 80's,2003,03:10,07/20
Life Less Ordinary,Carbon Leaf,Indian Summer,2004,03:35,07/20
Rope On Fire,Morphine,The Night,2000,05:37,07/20
Imaginary Song,Mark Sandman,Sandbox: The Original Music Of Mark Sandman,2000,02:54,07/20
Oranges,Lawrence,Homesick,2013,02:26,07/20
Glad Girls,Guided By Voices,Isolation Drills,2001,03:49,07/20
Judy Garland,Frog,Kind of Blah,2015,03:37,07/20
Lousy Connection,Ezra Furman,Lousy Connection,2015,03:49,07/20
Another Believer,Rufus Wainwright,Meet The Robinsons Original Soundtrack,2007,04:39,07/20
Será un día fenomenal (La canción de Phineas y Ferb),Indras,Phineas y Ferb (Castilian Spanish Version),2010,03:02,07/20
Storm Cloud Baby,the moss,Secretariat,2020,03:18,07/20
No Children,The Mountain Goats,Tallahassee,2002,02:48,07/20
The Hook,Stephen Malkmus,Stephen Malkmus,2001,03:03,07/20
Flagpole Sitta,Harvey Danger,Where Have All The Merrymakers Gone?,1997,03:37,07/20
Beach Song,Busman's Holiday,Beach Song / LaVaughna,2016,02:49,07/20
Covert Discretion,FREEMAN,FREEMAN,2014,04:55,07/20
Bang Pop,Free Energy,Stuck On Nothing,2010,03:41,07/20
Younger Now,Miley Cyrus,Younger Now,2017,04:09,07/20
Curbside Prophet,Jason Mraz,Waiting for My Rocket to Come,2002,03:35,07/20
You Can't Always Get What You Want,The Rolling Stones,Let It Bleed,1969,07:29,07/20
I-76,G. Love & Special Sauce,"Yeah, it's That Easy",1997,03:46,07/20
This Was a Demo for This One Song but I Couldn't Find the More Up to Date Version So This Will Have to Do Sorry,Rav,B-Sides Vol.3 (2011-2015),2018,02:43,07/20
"Skeleton Appreciation Day in Vestal, NY (Bones)",Will Wood and the Tapeworms,Everything Is a Lot,2015,04:05,07/20
Walkin' On The Sun,Smash Mouth,Summer Playlist,2019,03:28,07/20
Can't Get Enough Of You Baby,Smash Mouth,Astro Lounge,1999,02:31,07/20
Despite What You've Been Told,Two Gallants,Two Gallants,2007,04:29,07/20
The Outdoor Type,The Lemonheads,Car Button Cloth,1996,02:36,07/20
The Mariner's Revenge Song,The Decemberists,Picaresque,2005,08:46,07/20
This Year,The Mountain Goats,The Sunset Tree,2005,03:53,07/20
Ocean Man,Ween,The Mollusk,1997,02:07,07/20
3030,the moss & tyke james,3030,2020,03:03,07/20
On Top Of The World,Imagine Dragons,Night Visions,2012,03:10,07/20
Hold It In,Jukebox The Ghost,Let Live & Let Ghosts,2008,03:29,07/20
Miley,SWMRS,Drive North,2016,04:14,07/20
Bang!,AJR,Bang!,2020,02:51,07/20
Restless Leg,Har Mar Superstar,Bye Bye 17,2013,03:37,07/20
Army,Ben Folds Five,The Unauthorized Biography Of Reinhold Messner,1999,03:23,07/20
Cocaine Trade,Christian Hansen & the Autistics,Power Leopard,2009,04:04,08/20
It Wasnt Me,Shaggy,Dancehall,2020,03:48,08/20
I Can See Clearly Now,Johnny Nash,Radio Hits Of the '70s,1972,02:43,08/20
Odds Are,Barenaked Ladies,Grinning Streak,2013,03:04,08/20
Celebrate,the moss,Bryology,2019,05:19,08/20
The Sound,Human Highway,Moody Motorcycle,2008,02:45,08/20
¡Aikido! (Neurotic / Erotic),Will Wood and the Tapeworms,Everything Is a Lot,2015,02:13,08/20
Cover This Song (A Little Bit Mine),Will Wood and the Tapeworms,Everything Is a Lot,2015,03:57,08/20
Movin' Right Along,Alkaline Trio,Muppets: The Green Album,2011,02:34,08/20
Quitter,Toadies,Rubberneck,1994,03:34,08/20
Kodachrome,Paul Simon,There Goes Rhymin' Simon,1973,03:35,08/20
Bird Tutorial,Sidney Gish,No Dogs Allowed,2017,01:14,08/20
27 Jennifers,Mike Doughty,Golden Delicious,2008,03:11,08/20
Kick Drum Heart,The Avett Brothers,I And Love And You,2009,02:54,08/20
16 Military Wives,The Decemberists,Picaresque,2005,04:53,08/20
The Apartment Song,Tom Petty,Full Moon Fever,1989,02:33,08/20
Waterslide,The Bonedaddys,waterslide,2007,03:53,08/20
Right Back Where We Started From,Maxine Nightingale,Right Back Where We Started From,2019,03:12,08/20
Good Grief,Bastille,Wild World (Complete Edition),2016,03:26,08/20
"Sugar, Sugar",The Archies,The Very Best Of "The Archies",2007,02:47,08/20
Cult Boyfriend,Jeffrey Lewis,A Turn in the Dream-Songs,2011,02:37,08/20
Living in the Past - 2001 Remaster,Jethro Tull,Stand Up,1969,03:23,08/20
Signs,Five Man Electrical Band,Absolutely Right - The Best Of Five Man Electrical Band,2009,04:02,08/20
Nutted by Reality,Nick Lowe,Jesus of Cool (Deluxe Edition),2008,02:51,08/20
Wasted & Ready,Ben Kweller,Sha Sha,2002,03:51,08/20
What Do All the People Know? (Complete Song and Extra Lyrics - From Original Monroes of the 80's),The Monroes,What Do All the People Know?,2013,04:20,08/20
Be True To Your School,The Beach Boys,Little Deuce Coupe (Remastered),1963,02:09,08/20
Big Wheel,Samia,Big Wheel,2020,03:16,08/20
Life is a Highway,Rascal Flatts,Me And My Gang,2006,04:36,08/20
Let Her Dance,The Bobby Fuller Four,Never To Be Forgotten - The Mustang Years,1998,02:32,08/20
Gone for Good,The Shins,Chutes Too Narrow,2003,03:14,08/20
Nowhere With You,Joel Plaskett Emergency,Make A Little Noise EP,2006,03:02,08/20
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,Who Loves You,1975,03:17,08/20
Foxglove,Murder By Death,"Good Morning, Magpie",2010,03:06,08/20
Shit & Fuck,Wesley Willis,Rush Hour,2000,03:42,08/20
Missed the Boat,Modest Mouse,We Were Dead Before The Ship Even Sank,2007,04:25,08/20
Cannibal Queen,Miniature Tigers,Tell It To The Volcano,2008,02:42,08/20
Bang the Drum All Day,Todd Rundgren,The Ever Popular Tortured Artist Effect,1982,03:35,08/20
In a Big Country,moe.,Dither,2001,03:36,08/20
Listen to the Music,The Doobie Brothers,Toulouse Street,1972,03:47,08/20
All Of This,Shaimus,Paper Sun,2006,02:35,08/20
Oh My My,Blue October,Oh My My,2020,03:11,08/20
Upside Down,Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,2006,03:29,08/20
Why Don't You Get A Job,The Offspring,Americana,1998,02:52,08/20
American Music,Violent Femmes,Why Do Birds Sing?,1991,03:50,08/20
Money Won't Pay,bo en & Augustus,Pale Machine Expansion Pack Singles,2014,03:58,08/20
Smoke Alarm,Carsie Blanton,Idiot Heart,2012,02:16,08/20
Wait A Million Years,The Grass Roots,Leaving It All Behind,1969,03:19,08/20
Avalon,Foxygen,Hang,2017,03:46,08/20
Your Redneck Past,Ben Folds Five,The Unauthorized Biography Of Reinhold Messner,1999,03:43,08/20
25 or 6 to 4 - 2002 Remaster,Chicago,Chicago II,1970,04:50,08/20
One Last Drink,Enter The Haggis,Soapbox Heroes,2006,03:28,08/20
Instead of My Room,Charlie Burg,Live in Peter's Attic,2016,03:18,08/20
